Skill Name,Use Count,Grouped Intents
SeedSeminarAISkill,423,"AIPresentationSlide10Intent, AIPresentationSlide11Intent, AIPresentationSlide12Intent, AIPresentationSlide13Intent, AIPresentationSlide14Intent, AIPresentationSlide1Intent, AIPresentationSlide2Intent, AIPresentationSlide3Intent, AIPresentationSlide4Intent, AIPresentationSlide5Intent, AIPresentationSlide6Intent, AIPresentationSlide7Intent, AIPresentationSlide8Intent, AIPresentationSlide9Intent, ContinueAIPresentationIntent, ExplainCloudIntent, LaunchAIPresentationIntent"
systemSkill,415,"lockScreenIntent, restartIntent, shutdownIntent, suspendIntent, uptimeIntent"
PingSkill,402,PingIntent
LetsTalkSkill,370,"GoodAfternoonIntent, GoodEveningIntent, GoodMorningIntent, GoodNightIntent"
MathSkill,345,"CalculateIntent, FirstNumberIntent, MathStartIntent, NextCalculationIntent, SecondNumberIntent, TangentIntent"
StockSkill,341,"RepeatLastMessageIntent, StockPriceIntent, handle_stock_price_intent"
TimerSkill,339,"handle_cancel_timer, handle_mute_timer"
SpeakerRecognitionSkill,335,"EndTrainingIntent, SpeakerRecTestIntent, StartVoiceTrainingIntent"
RollSkill,298,"DiceRollIntent, RollIntent"
BetterJokeSkill,294,RandomEventIntent
FoxNewsSkill,287,FoxNewsIntent
SpellingSkill,264,SpellingIntent
WinkIoTSkill,259,handle_change_light
DecideSkill,259,DecideIntent
DiagnosticsSkill,232,"CpuIntent, CustomIntent, DriveIntent, IpIntent, UptimeIntent"
DictationSkill,230,"ReadDictationIntent, StartDictationIntent, StopDictationIntent"
MachineControlSkill,226,"ActionIntent, MachineOffIntent, MachineOnIntent"
AutoguiSkill,217,"CopyIntent, CutIntent, HoldKeyIntent, MouseScrollDownIntent, MouseScrollUpIntent, PressKeyIntent, ReleaseKeyIntent, ScreenResIntent, SelectCombinationIntent, TypeIntent"
BasicHelpSkill,216,"DocIntent, FeatureIntent, InstallIntent, Settings, Skills"
BrainSkill,204,"BrainScanIntent, Dyn-515765337Intent, Dyn-843707518Intent, Dyn1070007849Intent, Dyn1521026873Intent, Dyn1584006997Intent, GoodMorningIntent, ReloadAbilitiesIntent, ResetEyesIntent, UpgradeYourselfIntent, WhatVersionAreYouIntent"
FaceTest,202,handle_test
InventorySkill,202,"CreateIntent, InventoryIntent, RetrieveIntent"
DomoticzSkill,199,"ColorIntent, InfosIntent, SwitchIntent"
DlfSkill,197,"DlfIntent, DradioIntent, NovaIntent, WhatsonDlfIntent, WhatsonNovaIntent"
ArlobotSkill,191,StartupIntent
MP3DemoSkill,190,"PlayMusicIntent, PlaySongIntent"
abcdef,188,"AudioRecordSkillIntent, AudioRecordSkillPlayIntent, AudioRecordSkillStopIntent, AudioRecordSkillStopPlayIntent, CurrentWeatherIntent, DecreaseVolume, HelloWorldIntent, HowAreYouIntent, IncreaseVolume, PairingIntent, ReleaseIntent, ReminderSkillDeleteIntent, ReminderSkillListIntent, SetVolume, SpellingIntent, StockPriceIntent, StopIntent, ThankYouIntent, UnmuteVolume, WhatAreYouIntent, WhenWereYouBornIntent, WhereWereYouBornIntent, WhoAreYouIntent, WhoMadeYouIntent, handle_intent, handle_query_date, handle_query_time, speak_back"
CBCNewsSkill,182,CBCNewsIntent
JIRASkill,178,"ContactInfoIntent, IssueStatusIntent, IssuesOpenIntent, IssuesOverdueIntent, MostUrgentIssueIntent, RaiseIssueIntent, StatusReportIntent"
ReleaseTestSkill,148,ReleaseIntent
SocialMediaSkill,143,"CommentIntent, FbPostIntent, FriendsNumberIntent, FriendsStatusIntent, LikeIntent, LoginIntent, LogoutIntent, MessageIntent, PostIntent, PostToIntent, RetweetIntent, ShareIntent, WhatsUpIntent"
RandomNumberSkill,141,RandomNumberIntent
AsccbotControlSkill,131,"AsccbotCogAssIntent, AsccbotDepressionIntent, AsccbotEmotionTestIntent, AsccbotFallRiskIntent, AsccbotLonelyEvaluationIntent, AsccbotPhotoTakingIntent, AsccbotRspGameIntent, AsccbotTestingIntent"
AlarmSkill,130,"AlarmSkillCreateIntent, AlarmSkillDeleteIntent, AlarmSkillListIntent, AlarmSkillStopIntent"
Google Calendar,129,"GetDaysAppointmentsIntent, GetNextAppointment"
ContextSkill,128,"NoHoneyIntent, NoMilkIntent, TeaIntent, YesHoneyIntent, YesMilkIntent"
SimpleMediaSkill,127,"NextMediaIntent, PlayMediaIntent, WhatsPlayingMediaIntent"
NatureSoundSkill,126,"BeachIntent, BoatIntent, DawnIntent, ForestWalkIntent, HotSpringIntent, MorningSeaShoreIntent, MountainStreamIntent, OceanIntent, RainforestIntent, RiverIntent, SummerRainIntent, ThunderstormIntent"
GarageSkill,117,"LightColorIntent, LightControlIntent, LightLevelIntent, ReactiveConversationIntent, ReactiveEnterIntent, ReactiveExitIntent, ReactiveFollowUpIntent, ReactiveIdentifyIntent"
