Skill Name,Use Count,Grouped Intents
mycroft-spelling.mycroftai,4,SpellingIntent
mycroft-stock.mycroftai,4,StockPriceIntent
mycroft-stop.mycroftai,4,StopIntent
FedTheFishSkill,4,"handle_fed_fish_intent, handle_was_fed"
test-mycroft-release-test.mycroftai,4,ReleaseIntent
test-mycroft-singing.mycroftai,4,handle_sing
test-mycroft-speak.mycroftai,4,speak_back
test-mycroft-wiki.mycroftai,4,handle_intent
PlaySomeMusicSkill,4,PlaySomeMusicIntent
test-skill-naptime,4,NapTimeIntent
test-skill-npr-news,4,handle_intent
test-skill-spelling,4,SpellingIntent
test-skill-stock,4,StockPriceIntent
test-skill-stop,4,StopIntent
test_mycroft-pairing.mycroftai,4,PairingIntent
MetalSkill,4,RandomMetalBandIntent
test_mycroft-spelling.MycroftAI,4,SpellingIntent
test_mycroft-stock.MycroftAI,4,StockPriceIntent
test_mycroft-stop.mycroftai,4,StopIntent
WikipediaFallback,3,A
MarsSkill,3,handle_start_mars_intent
AimlSkill,3,"ResetIntent, ResetMemoryIntent"
test-skill-date-time,3,"handle_query_date, handle_query_time"
CivicusMonitorSkill,3,handle_civicus_monitor
PushbulletSkill,3,"PushMeMessageIntent, PushMessageIntent"
test-skill-joke,3,"ChuckJokeIntent, JokingIntent"
halskill,3,HALIntent
StoryTimeSkill,3,StoryTimeIntent
test-skill-weather,3,CurrentWeatherIntent
MediaSkill,2,"MediaMusicIntent, PlayIntent"
test-skill-singing,2,handle_sing
test-skill-speak,2,speak_back
test_mycroft-wiki.MycroftAI,2,handle_intent
testing,2,handle_testting
mycroft-configuration.mycroftai,2,UpdateConfigurationIntent
MediaMusicSkill,2,MediaMusicIntent
QuodLibetSkill,2,"FilterMediaIntent, WhatsPlayingMediaIntent"
Mycroft-SunSkill,2,SunRiseIntent
test_mycroft-release-test.mycroftai,2,ReleaseIntent
test-skill-configuration,2,UpdateConfigurationIntent
LunchMenuSkill,2,LunchIntent
mycroft-wiki.mycroftai,2,handle_intent
test_mycroft-singing.MycroftAI,2,handle_sing
test_mycroft-speak.MycroftAI,2,speak_back
MashapeSkill,2,"klingonSay, quoteIntent"
mycroft-speak.mycroftai,2,speak_back
test_mycroft-configuration.mycroftai,2,UpdateConfigurationIntent
mycroft-singing.mycroftai,2,handle_sing
NumbersSkill,2,number_trivia
mycroft-release-test.mycroftai,2,ReleaseIntent
TestWhat,2,handle_what
FactsSkill,2,handle_animal_fact_intent
FionaEntertainmentSkill,2,PlayIntent
Fred,2,FredColorIntent
GtfsSkill,2,RefreshIntent
ISSLocationSkill,2,ISSLocationIntent
MovieSkill,2,"SuggestMovieGenreIntent, SuggestMovieIntent"
QuidemTextAdventureSkill,1,handle_quidem_text_adventure
OpenLibrarySkill,1,SearchByTitle
test-skill-wiki,1,handle_intent
test-spotify-skill,1,list_devices
IkeaTraedfriSkill,1,handle_hello_world_intent
Apollo11GameSkill,1,StartApollo11Intent
NumberSkillSkill,1,NumberIntent
ChromecastSkill,1,CCDevicesIntent
BuddhaSkill,1,TellMeAQuoteFromBuddha
AimlFallback,1,ResetMemoryIntent
CustomerServiceSkill,1,SoftSourceIntent
BillandTedtSkill,1,StationIntent
FaceRecLogin,1,FaceLoginIntent
